EE_Delta_no,Delta_no_matlab,BasinID,Polygon,Delta,River_mouth_type,Anthropogenic,Anthropogenic_filtering_succesful_Landcover,Interior_change,Small_or_misplaced_buffer,Buffer_Overlaps_or_Inside_another_delta,Obs,
0,50,69,0,1,delta,0,NaN,0,0,0,,
1,51,87861,1,1,delta,0,NaN,1,1,0,River and estuarine dynamics,
2,52,87825,0,0,nondelta,NaN,NaN,NaN,NaN,0,tidal inlet,
3,53,227807,1,1,delta,1,0,0,0,0,Dikes,
4,54,299177,1,1,delta,0,NaN,1,0,0,,
5,55,201340,0,1,anthropogenic river mouth,1,0,0,0,0,"Port development, dikes",
6,56,135103,1,1,delta,0,NaN,1,0,0,,
7,69,103071,0,0,river mouth,NaN,NaN,NaN,NaN,0,Dike,
8,70,74573,0,0,interdune channel mouth,NaN,NaN,NaN,NaN,1,No mouth,
9,71,250920,0,0,estuary(ria),NaN,NaN,NaN,NaN,0,"Rocky estuary, river mouth is far",
10,72,135935,0,0,tidal inlets,NaN,NaN,NaN,NaN,0,,
11,73,170497,0,1,delta,0,NaN,1,0,0,,
12,74,157003,0,0,river mouth,NaN,NaN,NaN,NaN,0,No change,
13,75,314898,1,1,delta,0,NaN,0,1,1,Small buffer,
14,76,162388,1,1,"delta, anthropogenic river mouth",1,0,0,0,0,Urban development,
15,77,203988,0,0,anthropogenic river mouth,NaN,NaN,NaN,NaN,0,City of Nice,
16,78,2769,1,1,delta,0,NaN,1,0,0,,
17,79,574716,1,1,delta,0,NaN,0,0,0,,
18,80,383601,1,1,"delta, anthropogenic river mouth",1,0,0,0,0,"Urban development, dikes",
19,81,7818,1,1,delta,0,NaN,1,0,0,,
20,82,276923,0,0,estuary,NaN,NaN,NaN,NaN,0,"Dikes, ports, ships, shrimp farms",
21,83,225,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
22,84,151202,0,1,delta,0,NaN,0,0,0,Change from vegetation,
23,85,141533,0,0,river mouth,NaN,NaN,NaN,NaN,0,,
24,86,3018,1,1,delta,0,NaN,1,0,0,,
25,87,673450,0,0,estuary,NaN,NaN,NaN,NaN,0,,
26,88,147976,0,0,estuary,NaN,NaN,NaN,NaN,0,,
27,89,632150,1,1,delta,1,0,0,0,1,"Aquaculture, Shrimp farms",
28,90,237383,0,0,estuary(tributary),NaN,NaN,NaN,NaN,1,No coast,
29,91,119979,0,0,estuary(tributary),NaN,NaN,NaN,NaN,0,No coast,
30,92,145404,0,0,estuary,NaN,NaN,NaN,NaN,1,,
31,93,27687,0,1,delta,0,NaN,0,0,0,,
32,94,472086,1,1,delta,1,0,1,0,0,,
33,95,382322,1,1,delta,1,0,0,0,0,Urban evelopment,
34,96,124733,0,0,estuary,NaN,NaN,NaN,NaN,0,,
35,97,324962,0,1,"delta, anthropogenic river mouth",1,0,0,0,0,"Dike, change from vegetation",
36,98,91673,0,0,river mouth,NaN,NaN,NaN,NaN,0,"Salt ponds, shrimp farms",
37,99,394758,0,0,estuary,NaN,NaN,NaN,NaN,1,estuary,
38,100,51818,0,1,delta,0,NaN,0,0,0,No change,
39,101,689340,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
40,102,295697,1,1,delta,0,NaN,1,0,1,,
41,103,53848,0,0,river mouth,NaN,NaN,NaN,NaN,0,,
42,104,422862,1,1,delta,0,NaN,0,0,1,Vegetation change,
43,105,667218,1,1,delta,0,NaN,0,0,0,,
44,106,738891,0,0,river mouth,NaN,NaN,NaN,NaN,0,"No delta, Slope too steep, rocky",
45,107,93,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
46,57,20123,1,1,delta,0,NaN,0,1,0,,
47,58,286863,0,0,river mouth,NaN,NaN,NaN,NaN,0,"No delta, Slope too steep, rocky",
48,59,264925,1,1,delta,1,0,0,0,1,"Shrimp ponds, dikes",
49,60,249328,1,1,delta,0,NaN,1,1,0,,
50,61,146686,0,0,anthropogenic river mouth,NaN,NaN,NaN,NaN,1,,
51,62,193701,0,0,no river mouth,NaN,NaN,NaN,NaN,0,100% anthropogenic,
52,63,132009,1,1,delta,0,NaN,0,0,0,Few pixels on bar estuary,
53,64,158128,1,1,delta,0,NaN,1,0,0,,
54,65,211649,1,1,delta,0,NaN,0,0,0,,
55,66,199306,0,0,anthropogenic river mouth,NaN,NaN,NaN,NaN,1,Development,
56,67,316765,0,0,no river mouth,NaN,NaN,NaN,NaN,0,,
57,68,262538,1,1,delta,1,0,0,1,0,"Failed detection of new fluvial lobe, anthropogenic ponds",
58,0,718850,1,1,delta,1,0,0,0,0,,
59,1,94741,0,0,no river mouth,NaN,NaN,NaN,NaN,0,,
60,2,412843,1,1,delta,0,NaN,0,1,0,Didn't get spit tip accumulation,
61,3,638519,0,0,river mouth,NaN,NaN,NaN,NaN,1,,
62,4,216515,0,0,river mouth,NaN,NaN,NaN,NaN,0,Fjord?,
63,5,147544,1,1,delta,0,NaN,0,1,0,Small buffer,
64,6,420134,0,0,river mouth,NaN,NaN,NaN,NaN,0,Doesn't look like a delta,
65,7,674974,1,1,delta,1,0,1,0,1,"River dynamics, coastal works",
66,8,139009,0,1,delta,0,NaN,0,0,1,,
67,9,213083,0,0,delta,NaN,NaN,NaN,NaN,1,"Urban development, same delta as #97",
68,10,126813,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
69,11,26952,1,1,delta,0,NaN,1,0,0,,
70,12,145789,1,1,delta,0,NaN,0,0,0,,
71,13,160787,0,0,river mouth,NaN,NaN,NaN,NaN,0,Srtm high coastal elevation,
72,14,25943,0,0,river mouth,NaN,NaN,NaN,NaN,0,,
73,15,145,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
74,16,32721,0,1,delta,0,NaN,0,0,0,Lagoonal delta,
75,17,136526,0,0,river mouth,NaN,NaN,NaN,NaN,1,Barrier diverted river mouth,
76,18,40547,0,0,river mouth,NaN,NaN,NaN,NaN,0,Srtm high coastal elevation,
77,19,71749,1,1,delta,0,NaN,1,1,0,Small &Misplaced buffer,
78,20,296274,1,1,delta,0,NaN,1,0,0,,
79,21,48430,1,1,delta,0,NaN,1,0,1,change is River dynamics,
80,22,42223,1,1,delta,0,NaN,0,0,0,Barrier diverted river mouth,
81,23,259998,0,0,river mouth,NaN,NaN,NaN,NaN,0,"No delta, Srtm high coastal elevation",
82,24,63338,0,0,tidal inlet,NaN,NaN,NaN,NaN,0,tidal,
83,25,262402,1,1,delta,0,NaN,0,0,1,,
84,26,275141,1,1,delta,0,NaN,0,0,0,,
85,27,34059,0,0,river mouth,NaN,NaN,NaN,NaN,1,"River dynamics,Inside bigger delta",
86,28,30270,0,1,delta,0,NaN,0,0,0,,
87,29,395256,0,0,nondelta,NaN,NaN,NaN,NaN,0,seasonal river mouth,
88,30,654755,1,1,delta,0,NaN,0,0,0,,
89,31,634660,0,1,delta,0,NaN,0,0,1,Buffer overlap,
90,32,165985,1,1,delta,0,NaN,1,0,0,Barrier diverted river mouth,
91,33,323297,1,1,delta,0,NaN,0,0,0,jetties at mouth,
92,34,373957,0,0,nondelta,NaN,NaN,NaN,NaN,0,tidal inlet,
93,35,36503,0,0,river mouth,NaN,NaN,NaN,NaN,0,Estuary,
94,36,149,1,1,delta,0,NaN,1,1,0,"Small, misplaced buffer",
95,37,331379,1,1,delta,0,NaN,1,0,1,River dynamics,
96,38,39958,0,1,delta,0,NaN,0,0,0,"River dynamics, possible false change (vegetation)",
97,39,213107,1,1,delta,1,0,0,0,1,Urban development,
98,40,598116,0,0,nondelta,NaN,NaN,NaN,NaN,0,"No river mouth, tidal creek",
99,41,630689,0,1,"delta, anthropogenic river mouth",1,0,0,0,1,Urban development,
100,42,620926,1,1,delta,0,NaN,1,0,0,River dynamics,
101,43,416223,0,0,no river mouth,NaN,NaN,NaN,NaN,0,"No river mouth, delta restoration",
102,44,75078,0,0,canals,NaN,NaN,NaN,NaN,1,"Aquaculture,  shrimp",
103,45,730746,0,0,river mouth,NaN,NaN,NaN,NaN,1,Barrier diverted river mouth,
104,46,583610,0,0,tidal creek,NaN,NaN,NaN,NaN,0,"Not delta, not linked to any real river",
105,47,128186,0,0,nondelta,NaN,NaN,NaN,NaN,1,"No river mouth,Dikes",
106,48,77603,1,1,delta,1,0,1,0,1,"Aquaculture, Inside bigger delta",
107,49,659760,0,0,river mouth,NaN,NaN,NaN,NaN,0,Barrier diverted river mouth,
