BasinID,.geo
149,"{""type"":""Polygon"",""coordinates"":[[[39.79062551383309,64.63101425348462],[39.81534475211434,64.61276831324925],[39.83457082633309,64.64954193958259],[39.86066335562997,64.68421059331202],[39.94649404410653,64.69536564496279],[40.04262441520028,64.74023295886992],[40.181326807778404,64.76893243573491],[40.403799952309654,64.79467742528696],[40.40791982535653,64.81513885921906],[40.35298818473153,64.82799238390047],[40.120902003090904,64.78765850038872],[39.93001455191903,64.76366338861641],[39.799551905434654,64.68626581632292],[39.78169912223153,64.64277932868623],[39.79062551383309,64.63101425348462]]]}"
2769,"{""type"":""Polygon"",""coordinates"":[[[6.035535647126182,36.85155440759504],[6.07330115005587,36.86570139137025],[6.099737002106651,36.87641289867711],[6.142309023591026,36.8906925718831],[6.125314547272667,36.887672094490284],[6.07827932998751,36.872018615838115],[6.060426546784385,36.8655640546023],[6.035535647126182,36.85155440759504]]]}"
3018,"{""type"":""Polygon"",""coordinates"":[[[141.79697674677342,58.78495354264115],[141.80452984735936,58.787800267099556],[141.84881848261327,58.82016533259022],[141.88006085321874,58.846461924098485],[141.8941370861289,58.87043128130194],[141.93705243036717,58.92399155829809],[141.91816967890233,58.905556327851386],[141.88212078974217,58.867258139620674],[141.8677012340781,58.84932542884946],[141.8622080700156,58.84275369499585],[141.8289057628867,58.81360991403855],[141.79697674677342,58.786042956651535],[141.79697674677342,58.78495354264115]]]}"
7818,"{""type"":""Polygon"",""coordinates"":[[[-3.2084757714209733,35.223249849588946],[-3.206158342832106,35.22198775129041],[-3.201437654965895,35.22310961741396],[-3.197146120542067,35.225353303134796],[-3.1913954644141374,35.227316477251364],[-3.176203432553786,35.23664090564385],[-3.169336977475661,35.24273976391813],[-3.1813532738623795,35.234888275333965],[-3.192854586118239,35.228788826668435],[-3.202295961850661,35.22521307459469],[-3.2084757714209733,35.223249849588946]]]}"
20123,"{""type"":""Polygon"",""coordinates"":[[[-71.05319403540152,9.760198067384986],[-71.05838679205435,9.768276158410165],[-71.05714224707144,9.764004522128834],[-71.05113409887808,9.751020103205365],[-71.04607008825796,9.74738268342611],[-71.03886031042593,9.741207438086949],[-71.02967642675894,9.727080077397206],[-71.03087805639761,9.7298717589125],[-71.03323840033072,9.73659707768409],[-71.03718661200064,9.742560926297113],[-71.04214498896835,9.747704794303225],[-71.04712316889999,9.750665484965685],[-71.04956934352157,9.753034018567165],[-71.0521871795201,9.75840545204484],[-71.05319403540152,9.760198067384986]]]}"
26952,"{""type"":""Polygon"",""coordinates"":[[[-79.85911332423888,8.55417024440259],[-79.8373981600543,8.557989639851536],[-79.83370744044981,8.559856885905397],[-79.81602631862364,8.566604357778086],[-79.82117615993224,8.565501005781599],[-79.8243948107501,8.564652271298884],[-79.83307581134717,8.56167962671942],[-79.83813982196729,8.560661134884443],[-79.84015684314649,8.559642640324087],[-79.84530668445508,8.557775393219389],[-79.85522012897412,8.555695948166468],[-79.86178617664258,8.55442281293831],[-79.85911332423888,8.55417024440259]]]}"
42223,"{""type"":""Polygon"",""coordinates"":[[[143.99216901522877,49.97156269986886],[143.99268399935963,49.972997970237635],[143.98993741732838,49.982822902334846],[143.98925077182056,49.995515068433036],[143.9938856289983,50.0047837513076],[143.99783384066822,50.01228566203169],[143.99886380892994,50.019676105316904],[143.99028074008228,50.02805791874163],[143.9741445706487,50.044927396951344],[143.98530256015064,50.02894012981408],[143.99525892001392,50.01868342529452],[143.99440061312916,50.01162377583365],[143.99199735385181,50.00809356214674],[143.98650418978931,49.9977220597675],[143.9858175442815,49.98701720600674],[143.98890744906666,49.97774509803822],[143.99216901522877,49.97156269986886]]]}"
48430,"{""type"":""Polygon"",""coordinates"":[[[166.89304691082265,-15.1696363012608],[166.89854007488515,-15.16835227822291],[166.90102916485097,-15.167979495879717],[166.90583568340566,-15.168062336457249],[166.90978389507558,-15.168932160560901],[166.91489082103993,-15.170671798027916],[166.9124017310741,-15.168890740446665],[166.90592151409413,-15.166819724384993],[166.89866882091786,-15.166488359931927],[166.89605099241268,-15.166964706899693],[166.89403396374013,-15.167855234952539],[166.88768249279286,-15.17087889677244],[166.8867169054335,-15.17195582191517],[166.89304691082265,-15.1696363012608]]]}"
71749,"{""type"":""Polygon"",""coordinates"":[[[-42.83818989429739,-2.53981379489628],[-42.810209089854034,-2.5550765591889304],[-42.77793675098685,-2.560735740348666],[-42.74188786182669,-2.5681097873725665],[-42.71098881397513,-2.571882539164708],[-42.70000248585013,-2.5751408158240174],[-42.67820149097708,-2.5958906975312757],[-42.65331059131888,-2.617669132492236],[-42.65828877125052,-2.606865703990269],[-42.6766565385845,-2.588173839021922],[-42.70171909961966,-2.5648514927664556],[-42.71785526905325,-2.5549050684610957],[-42.744291121104034,-2.542557675962374],[-42.77330189380911,-2.5437581220943386],[-42.79132633838919,-2.5437581220943386],[-42.81312733326224,-2.542557675962374],[-42.833383375742706,-2.539642302136058],[-42.83818989429739,-2.53981379489628]]]}"
77603,"{""type"":""Polygon"",""coordinates"":[[[-37.80621311216235,-4.397382882773038],[-37.81119129209399,-4.395329007345971],[-37.8338505938518,-4.382149838808862],[-37.85874149351,-4.37051089937611],[-37.903398369165245,-4.340924100781981],[-37.90202507814962,-4.346401486858703],[-37.86357292971212,-4.374814787304033],[-37.85493912069843,-4.380196654294339],[-37.83485473959492,-4.391321970838886],[-37.810907977509956,-4.3995374827499525],[-37.80558647482441,-4.399280749373729],[-37.80621311216235,-4.397382882773038]]]}"
87861,"{""type"":""Polygon"",""coordinates"":[[[119.09420339712698,-19.992759953324114],[119.09780828604299,-19.98485525397228],[119.0930017674883,-19.969206006072096],[119.0984949315508,-19.963558988836425],[119.11051122793752,-19.963881680982528],[119.12647573599416,-19.9680766188016],[119.14261190542776,-19.97840214412902],[119.1501650060137,-19.9869524577665],[119.15153829702932,-20.002196676823484],[119.17411176809865,-19.998567234723776],[119.17179433950979,-19.97904746700507],[119.1805490697344,-19.955975533373643],[119.19359533438283,-19.95420062945836],[119.21367971548635,-19.95581417929721],[119.23153249868948,-19.96097742790199],[119.24406377920705,-19.9680766188016],[119.25299017080862,-19.973562138338803],[119.28182928213674,-19.98049943381475],[119.32028143057424,-19.9892109537056],[119.32285635122854,-19.98792038856265],[119.28972570547658,-19.9767888253788],[119.26740972647268,-19.973078129586177],[119.25075857290823,-19.966624537568435],[119.22140447744924,-19.949843962489147],[119.1838106358965,-19.94935988095831],[119.15960638174612,-19.95484605137373],[119.1204675878008,-19.95952528131058],[119.10415975699026,-19.957105007288963],[119.08836691031057,-19.961622822096423],[119.08407537588674,-19.975336824384467],[119.08544866690237,-19.992921269588358],[119.07995550283987,-20.004858214508744],[119.09420339712698,-19.992759953324114]]]}"
132009,"{""type"":""Polygon"",""coordinates"":[[[50.396065746577875,-15.61375184553272],[50.399842296870844,-15.602839991189539],[50.40859702709545,-15.586471121597695],[50.41288856151928,-15.583660174327873],[50.41786674145092,-15.575061743947474],[50.41597846630444,-15.574069594216093],[50.41177511448875,-15.581342702876453],[50.40567836387982,-15.586061239280564],[50.39949855430951,-15.60011542653693],[50.39675197227826,-15.606563496274028],[50.39469203575482,-15.612184725027191],[50.396065746577875,-15.61375184553272]]]}"
135103,"{""type"":""Polygon"",""coordinates"":[[[-83.81437935700264,11.0778121461187],[-83.78176369538154,11.012778280378777],[-83.74228157868232,10.957505047006357],[-83.71859230866279,10.943685123344986],[-83.70657601227607,10.939640145667557],[-83.69009652008857,10.936943463216167],[-83.67087044586982,10.930201649797105],[-83.64855446686592,10.912335103560467],[-83.63344826569404,10.893793212309985],[-83.6149088369831,10.859740551105755],[-83.59568276276435,10.814555781462156],[-83.5851675770394,10.770517369552987],[-83.5745245716683,10.723632553511402],[-83.55426852918784,10.663582397932633],[-83.53126590467612,10.606557516022187],[-83.50105350233237,10.537708591941124],[-83.45287421249284,10.44705116730998],[-83.42060187362566,10.396064641513552],[-83.40027798098068,10.367716358099168],[-83.40027798098068,10.374808341779246],[-83.4459399072502,10.451212432518181],[-83.4782122461174,10.512992005074212],[-83.51098280183038,10.574693288193291],[-83.53467207184991,10.63442353632963],[-83.55844717255792,10.694732474018247],[-83.57286672822198,10.743982911684082],[-83.58007650605401,10.775013311202422],[-83.5793898605462,10.797609524959903],[-83.58625631562433,10.812785132629458],[-83.59758596650323,10.83841330423738],[-83.60634069672784,10.851395159307806],[-83.61423712006768,10.868759616280359],[-83.62888373411094,10.893638203047697],[-83.64055670774376,10.912207542138592],[-83.65549124753868,10.924174881097816],[-83.67248572385704,10.93580464969079],[-83.687248602275,10.939006969671489],[-83.70613135373985,10.9437261150094],[-83.72707404172813,10.952827111608045],[-83.7418369201461,10.965635447647788],[-83.76775778806602,10.998159385345765],[-83.78818549192344,11.030364050085597],[-83.81112381527795,11.077221968927157],[-83.81437935700264,11.0778121461187]]]}"
145789,"{""type"":""Polygon"",""coordinates"":[[[-80.92088722136853,7.434854545081034],[-80.91949247643078,7.432599152506877],[-80.91681027669749,7.433663015447523],[-80.9158232107484,7.44008872217424],[-80.91818126703456,7.44786923577353],[-80.9260776903744,7.459613782651549],[-80.93920978571131,7.471272912329666],[-80.94015392328456,7.469145357114801],[-80.92436107660487,7.453571337725385],[-80.92015537286952,7.443273457819153],[-80.9205845263119,7.438592523358925],[-80.92187198663905,7.436124374173734],[-80.92088722136853,7.434854545081034]]]}"
147544,"{""type"":""Polygon"",""coordinates"":[[[43.46215756117267,-21.642973370637467],[43.46627743421954,-21.642973370637467],[43.47383053480548,-21.617760805797005],[43.475203825821104,-21.59413998409131],[43.46730740248126,-21.547682839521038],[43.46250088392657,-21.528841223697757],[43.45941097914142,-21.508719511410046],[43.46284420668048,-21.491470112566187],[43.4638741749422,-21.458562812272792],[43.47177059828204,-21.433367830796374],[43.474173857559386,-21.40556175499274],[43.48138363539142,-21.38510333270105],[43.48859341322345,-21.356968330996843],[43.49923641859454,-21.335223946705373],[43.54318173109454,-21.30388078156514],[43.57476742445392,-21.282128532238097],[43.59262020765704,-21.2734907172356],[43.620772673477354,-21.2690116505658],[43.644461943496886,-21.274450499500706],[43.6671212452547,-21.27509035086627],[43.713126494278136,-21.269651525578553],[43.74024899183673,-21.26773189219527],[43.72548611341876,-21.256533531908392],[43.70385677992267,-21.255573632829687],[43.64068539320392,-21.25941319160849],[43.58026058851642,-21.266452122698464],[43.51159603773517,-21.2878867937958],[43.48825009046954,-21.306439658083214],[43.46078427015704,-21.36624069012735],[43.436751677383604,-21.397423776716597],[43.41718228041095,-21.430664456964877],[43.441214873184386,-21.49360922378521],[43.45666439711017,-21.551417734496457],[43.46490414320392,-21.587496458595812],[43.45735104261798,-21.636080016859076],[43.46215756117267,-21.642973370637467]]]}"
158128,"{""type"":""Polygon"",""coordinates"":[[[150.17431759155573,-35.85838225290712],[150.1583530834991,-35.87090259864909],[150.14856838501277,-35.89079196840204],[150.14942669189753,-35.90580999991593],[150.15440487182917,-35.90942502638631],[150.158696406253,-35.90984213419762],[150.15509151733698,-35.914569202381706],[150.15663646972956,-35.92847070703448],[150.15955471313777,-35.933474650515926],[150.16315960205378,-35.93291867243591],[150.16075634277644,-35.930138723384914],[150.15818142212214,-35.921520260144305],[150.1583530834991,-35.91415211949127],[150.16247295654597,-35.90928598996057],[150.16109966553034,-35.90622712678347],[150.15440487182917,-35.905867987576784],[150.15217327392878,-35.90253089592776],[150.15148662842097,-35.893909424555005],[150.15560650146784,-35.881531800095864],[150.1635029248077,-35.8699868788611],[150.17208599365534,-35.86289217713561],[150.17637752807917,-35.85913590144552],[150.17431759155573,-35.85838225290712]]]}"
162388,"{""type"":""Polygon"",""coordinates"":[[[131.3492950897591,33.57334891530576],[131.3540157776253,33.573706476012475],[131.35968060306476,33.57742501956387],[131.36440129093097,33.576423888982035],[131.3668903808968,33.57306286567405],[131.37152523807453,33.57399252351147],[131.37392849735187,33.57628086937958],[131.3800224762337,33.57563727823589],[131.39478535465167,33.57570878859993],[131.3965019684212,33.576781436951414],[131.38388485721515,33.57792558050028],[131.3764175873177,33.581000391133685],[131.3701519470589,33.58150093133353],[131.36122555545734,33.58021382209685],[131.35307164005206,33.576423888982035],[131.3492950897591,33.57334891530576]]]}"
165985,"{""type"":""Polygon"",""coordinates"":[[[23.379786121477117,-34.05327411450348],[23.386652576555242,-34.04459798123406],[23.39695225917243,-34.03336035816946],[23.415491687883367,-34.021125303914275],[23.44965230189704,-34.005615549370575],[23.42167149745368,-34.01401108935941],[23.40141545497321,-34.02582035889898],[23.386137592424383,-34.037130106536374],[23.38098775111579,-34.04260661227535],[23.374550449480047,-34.048153880923984],[23.37772618495368,-34.050856264958014],[23.379786121477117,-34.05327411450348]]]}"
211649,"{""type"":""Polygon"",""coordinates"":[[[168.29685219148516,-46.47761786806325],[168.2989121280086,-46.48057310099788],[168.30371864656328,-46.48045489476222],[168.30303200105547,-46.47489891200342],[168.30492027620195,-46.46650475587484],[168.29822548250078,-46.46295754026545],[168.28964241365313,-46.45976484859533],[168.29753883699297,-46.458582322687384],[168.32260139802813,-46.457281514525896],[168.33169945100664,-46.454443279763204],[168.33667763093828,-46.450895278283745],[168.33599098543047,-46.44734704566284],[168.33084114412188,-46.446873930515956],[168.3274079165828,-46.449949105518726],[168.3208847842586,-46.45420675352228],[168.30921181062578,-46.455389374454015],[168.29256065706133,-46.45373369795855],[168.27968605378985,-46.459291841313984],[168.27024467805742,-46.45621719382533],[168.26063164094805,-46.46142034172074],[168.26972969392656,-46.46591356932436],[168.27590950349688,-46.46591356932436],[168.2908440432918,-46.46733240625921],[168.29462059358477,-46.47489891200342],[168.29685219148516,-46.47761786806325]]]}"
213107,"{""type"":""Polygon"",""coordinates"":[[[118.43749822063658,24.684524418838052],[118.43663991375182,24.681326887589883],[118.43904317302916,24.67656943323321],[118.44170392437194,24.669861894180485],[118.44814122600768,24.6679899584397],[118.45311940593932,24.676179469909318],[118.44376386089537,24.682028791718448],[118.43749822063658,24.684524418838052]]]}"
227807,"{""type"":""Polygon"",""coordinates"":[[[120.17450425010982,22.933692238148883],[120.1725151966159,22.922925968765618],[120.171270651633,22.91608774569104],[120.17354516487762,22.910792222825467],[120.1807978580539,22.893396959091078],[120.18543271523163,22.884105936472572],[120.18247155647919,22.8928039340995],[120.17882375221893,22.908775168528514],[120.17702130776092,22.917273944719998],[120.17612008553192,22.924744521780685],[120.17603425484344,22.928341319381],[120.17612008553192,22.935574150665857],[120.17491845589325,22.938459270657532],[120.17450425010982,22.933692238148883]]]}"
